"우리WON뱅킹 오픈LOL 리그 확인용 로스터
갱신 날짜 : 22.10.24. 15:17",,,,,,,,
달린다,입털면 겜대충함,전통민속촌,가지지 못한,남탓 적당히 해라,지챠 잘해요,,,
대깨부,로이갓영원하라,롤무기징역,,,,,,
덕소롤망령,전령꿀꺽,버프꿀꺽,탈진꿀꺽,수당꿀꺽,장로꿀꺽,,,
동동이,탑벌레베어,빨간맛복숭아,옴므파탈리안,둥글게 살자,샤발랄랄라,,,
롸롸올라,리지렁,궁식쓰,탑텔타는 망나니,87세박춘봉탈모방지중성화,울빈 주인,빡빡이챔프장인,,
모르가나가뭘모르가나,누가죽였어,어쨌든 섹시해,,,,,,
물총칼국수,RIP Kobe Bryant,고점이 높은 원딜,승매미,Boost,주제를알아라집종,,,
미소천사윤석열대통령,그의케인,,,,,,,
미필들,Martin Taylor,태리사랑꾼,,,,,,
변순대,공주cs,afreeca 주파란,미래만생각하자,boxerslayers,그냥 벽,,,
별밤,장루피,Oops kaya,프레스,잘생긴정현이,closemaker,김다우,침식이,
선생님 피구해요,오빠 물 떠왔어,인생조홍재,NamJa,불다이아,애기곤듀승기,섹시바디이상민,,
세브란스,CHR0NG,스틸의 신,연희동전탱크,Kuvar,갱잇고,,,
세종레이캐슬,후르릅캬아,헿헿헤헿헤헿,까불면3대멸망,빱빱쓰,멍청하지않은사람,,,
수도쟁이,고달픈따까리,달빛의바다,메니스커스렌즈,Oxean,네다씹들,,,
스꾸분식집,비타님,난잠이안와,nveritas lux mea,지략가의 고뇌,bullfrogs,슬기로운석4생활,,
스모기연,검은목탁,달짝한초코칩,꿀추친구,입꾹닫하고버스,Sublime Text,,,
신과함께,Top joker,골드포스,슬기로운조명생활,재섭이와쩌염뿌우,해죠잉,,,
쌍권필의 오른주먹,Aionue,도벽베인좋아,서현숙사랑해,fuil moon,hannah dulgi,장동혁,,
앱크래시,Nonchanlant,SSOJAE,자손님,시크소년,보쌈덕후,피들수틱봇,,
얀책,z1존남현,펩시부먹민트쵸코,Tarzo,도파의 빈자리,afsasfsfaafs,무지성 야만인,,
양천중24회졸업,구래동아이번,,,,,,,
엉망진창,남봉식,용윈윈윈,xxisooan,허니부기,,,,
열이와아이들,미드원딜규니,창신동또르망치,열치기,수호자애니비아,,,,
옆동네,학살자우연재,단단한이휘준,성균관대학고,질병겜접자,모두의틀딱,,,
요즘잘자쿨냥이,지금이야꿀템,깽깽이발로간다잉,킹 잉여,그녀의청바지두부,태방이,SatelliteMoments,,
우리FIS 1군,통통머신,슈뢰딩거의선픽,정화드는원딜닷지,지옥짬뽕,서인천캡틴,손흥민태클,,
우리은행정복하러왔다,민첩용,Luna the Moon,혜진갓,,,,,
우린항만고,GF Airline,,,,,,,
우승못하면도파랑동반입대,udt최진혁,유경일,짱귀요미이서연,BrushOvO,Bread 0,,,
이멤버리멤버,미소화닛,,,,,,,
잃어버린위맹,닉변한다캐,Cranker,이자식고수다,목창현,충키,,,
장짤은 한번만,노원사나이진병현,업적광,갖다박는계정9,php가싫어요,침 착 하 갱,,,
재능중,Cassi Nautil,망장군,First of all,Re ailo,Ar1zona Zervas,,,
전국맛집탐방,진짜 여기까지,K9 berserker,makemeioveu,rei ive,topgap딱대라,,,
점심시간,므겔므겔,켄드릭고고,펠트입니다,EstellST,쳄림림,DevelFaker,강현쿤,
제일고등학교,쟈크킹,깜찍한강아지,santise,양유청,바위게와하위게,프로지망05미드,,
조나와일벌들,jonnastrong,뜩 구,카이스르,쭘쭈미,미됴니,,,
조마 큰 물건,천만원짜리걸짝,,,,,,,
조쉬와친구들,맥스하,HaechelinGuide,후기,2022건일,빙하탄둘리,,,
종이의집,미드 죽다,its ok man,kukukukuku,real gankster,8750000000000000,,,
짐승들,난건강하고풍성해,행신동 이찬우,undertheblackdog,색안경안낀사람,무무짜우,다이아갈끄야,,
찐붕이들,너희어머니쩔더라,람머스귀여움,꿩꿩꿩꿩꿩꿩,헬도비,책임없는쾌락IlIl,년규,아진짜섭섭해,
참가상은 우리것,마이어때,제르나소스,한아르미,혜지,난도질각,,,
초량찌질이,뿌잉음료,화려한딜러,436,전원차단,암탄소녀단윤환,찌리상호오구,,
평수상봉,Awe Sona,핑와셔틀,Code 렌카,noah is abck,,,,
피타코라스,Mopey,우마우마우냐우냐,박원순tv,스윗 서포터,꼴아박지,,,
하바별,Canyon Commander,늙고싶지않아요,서폿아 도구해,날보고웃어줘,패배x좌절x멸망,,,
한쌍과친구들,웰치스포도주세요,여러분해봐요,11번척추골절,기탐,무지성풀캠충on,,,
헌터,눈감고세이브,그시절 조패,양치는칫솔로,보기싫게,보기 좋게,뚱땡이모임,,
형태쌤의 포켓몬,골딱이다,쭈에에에엥,T1Shadow monarch,zjtmzmfnr,프레데터 예준,,,
홍기석 오팬무,게임하는사가이,홍기석,탑보단미드임,플레였던 차누,닉네임할거없넹,,,
